iteration,loss,floor_bounce,gt.floor_bounce
-1,,,0.5
0,,0.25,
1,1.6893357823732913e-08,0.25,
2,1.6890039589156913e-08,0.25,
3,1.6904452948551807e-08,0.25,
4,1.689164719209657e-08,0.25,
5,2.5660902736035496e-08,0.2703436613082886,
6,8.122763574647252e-06,0.29647037386894226,
7,6.920316991454456e-06,0.3305477201938629,
8,5.234001946519129e-06,0.36946865916252136,
9,3.360212076586322e-06,0.411543607711792,
10,1.6495301906616078e-06,0.4551955461502075,
11,4.5409433369059116e-07,0.49816736578941345,
12,2.1054182397506338e-08,0.5378484725952148,
13,4.623098448064411e-06,0.5304087996482849,
14,3.057010417251149e-06,0.5103221535682678,
15,3.7807870967299095e-07,0.48731428384780884,
16,1.1219818816243787e-06,0.4804486036300659,
17,2.5977142286137678e-06,0.4895137548446655,
18,7.74998056840559e-07,0.5049597024917603,
19,2.6198551950074034e-07,0.5136781334877014,
20,1.695058131190308e-06,0.5093215703964233,
