iteration,loss,particle.0.mass,particle.1.mass,particle.2.mass,particle.3.mass,particle.4.mass,particle.5.mass,particle.6.mass,particle.7.mass,particle.8.mass,particle.9.mass,particle.10.mass,particle.11.mass,particle.12.mass,particle.13.mass,particle.14.mass,particle.15.mass,particle.16.mass,particle.17.mass,particle.18.mass,particle.19.mass,edge.0.k,edge.1.k,edge.2.k,edge.3.k,edge.4.k,edge.5.k,edge.6.k,edge.7.k,edge.8.k,edge.9.k,edge.10.k,edge.11.k,edge.12.k,edge.13.k,edge.14.k,edge.15.k,edge.16.k,edge.17.k,edge.18.k,edge.19.k,edge.20.k,edge.21.k,gt.particle.0.mass,gt.particle.1.mass,gt.particle.2.mass,gt.particle.3.mass,gt.particle.4.mass,gt.particle.5.mass,gt.particle.6.mass,gt.particle.7.mass,gt.particle.8.mass,gt.particle.9.mass,gt.particle.10.mass,gt.particle.11.mass,gt.particle.12.mass,gt.particle.13.mass,gt.particle.14.mass,gt.particle.15.mass,gt.particle.16.mass,gt.particle.17.mass,gt.particle.18.mass,gt.particle.19.mass,gt.edge.0.k,gt.edge.1.k,gt.edge.2.k,gt.edge.3.k,gt.edge.4.k,gt.edge.5.k,gt.edge.6.k,gt.edge.7.k,gt.edge.8.k,gt.edge.9.k,gt.edge.10.k,gt.edge.11.k,gt.edge.12.k,gt.edge.13.k,gt.edge.14.k,gt.edge.15.k,gt.edge.16.k,gt.edge.17.k,gt.edge.18.k,gt.edge.19.k,gt.edge.20.k,gt.edge.21.k
-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1000000.0,1000000.0,1.0,1.0,1.0,1000000.0,1.0,1.0,1.0,1.0,1.0,1000000.0,1000000.0,1.0,1.0,1.0,1.0,1.0,1.0,49.07329559326172,43.18100357055664,210.79783630371094,184.5205841064453,153.55503845214844,126.31459045410156,178.84588623046875,52.72201919555664,152.78073120117188,1479.359619140625,335.5299072265625,394.7825012207031,115.28861236572266,77.67278289794922,322.4112548828125,292.17156982421875,340.9383850097656,230.95013427734375,462.88214111328125,178.71435546875,192.11871337890625,160.06735229492188
0,,1.0,1000000.0,1000000.0,1.0,1.0,1.0,1000000.0,1.0,1.0,1.0,1.0,1.0,1000000.0,1000000.0,1.0,1.0,1.0,1.0,1.0,1.0,49.07329559326172,43.18100357055664,210.79783630371094,184.5205841064453,153.55503845214844,126.31459045410156,178.84588623046875,52.72201919555664,152.78073120117188,1479.359619140625,335.5299072265625,394.7825012207031,115.28861236572266,77.67278289794922,322.4112548828125,292.17156982421875,340.9383850097656,230.95013427734375,462.88214111328125,178.71435546875,192.11871337890625,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.957020440902852e-07,0.9925411343574524,1000000.0,1000000.0,0.9618228077888489,0.9977201819419861,1.001102089881897,1000000.0,0.9999995231628418,0.9999966621398926,1.0,1.000001072883606,1.0000003576278687,1000000.0,1000000.0,1.0000028610229492,1.0009574890136719,1.0,1.0004703998565674,1.0,1.0000003576278687,49.07344436645508,43.1810188293457,210.79783630371094,184.52053833007812,153.56211853027344,126.31366729736328,178.84507751464844,52.722713470458984,152.7805633544922,1479.37353515625,335.53082275390625,394.7825012207031,115.28861999511719,77.67278289794922,322.4112548828125,292.17156982421875,340.93792724609375,230.95013427734375,462.88214111328125,178.71435546875,192.11871337890625,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.5567766240565106e-06,0.9391757845878601,1000000.0,1000000.0,0.8888746500015259,0.9613333940505981,1.010872483253479,1000000.0,1.0000797510147095,0.9988722801208496,0.9999961256980896,1.0000098943710327,0.9998776912689209,1000000.0,1000000.0,1.000084638595581,1.0202692747116089,1.0000001192092896,1.025154948234558,0.9999998211860657,0.9999032616615295,49.081825256347656,43.18281173706055,210.79843139648438,184.5172882080078,153.81741333007812,126.29766845703125,178.77719116210938,52.78218078613281,152.76150512695312,1479.940185546875,335.5788879394531,394.78216552734375,115.28877258300781,77.67279052734375,322.41119384765625,292.1718444824219,340.9221496582031,230.95008850097656,462.8821105957031,178.71435546875,192.11871337890625,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.215381068206625e-06,0.8730408549308777,1000000.0,1000000.0,0.8177960515022278,0.8995913863182068,1.0362827777862549,1000000.0,1.000991940498352,0.9872942566871643,0.9999566674232483,0.9999305009841919,0.997956395149231,1000000.0,1000000.0,1.0012797117233276,1.0728330612182617,1.000001311302185,1.0834211111068726,0.9999973177909851,0.9977983236312866,49.15686798095703,43.196754455566406,210.81561279296875,184.47146606445312,154.85450744628906,126.2251205444336,177.8951416015625,53.49431610107422,152.6494903564453,1482.80078125,336.0725402832031,394.7805480957031,115.28881072998047,77.67293548583984,322.4112548828125,292.1728515625,340.7466125488281,230.94888305664062,462.8810729980469,178.71435546875,192.1187744140625,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9.700251212052535e-06,0.8052396178245544,1000000.0,1000000.0,0.7423762083053589,0.8337215781211853,1.0299335718154907,1000000.0,1.0070157051086426,0.9595096111297607,1.0006619691848755,0.9988753795623779,0.9878010749816895,1000000.0,1000000.0,1.010439395904541,1.1360458135604858,1.000054955482483,1.1477645635604858,0.9999639391899109,0.9825910329818726,49.494075775146484,43.244544982910156,210.979248046875,184.1780242919922,156.2686004638672,126.25926208496094,173.26234436035156,56.90433120727539,152.90289306640625,1488.974853515625,338.32867431640625,394.7862548828125,115.27490997314453,77.67446899414062,322.4194641113281,292.15301513671875,339.75927734375,230.937744140625,462.8722839355469,178.7143096923828,192.11959838867188,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8.86634188645985e-06,0.7266268134117126,1000000.0,1000000.0,0.6585753560066223,0.7563915848731995,1.011658787727356,1000000.0,1.0160223245620728,0.9256247282028198,1.0020734071731567,0.997260332107544,0.9726356863975525,1000000.0,1000000.0,1.0238726139068604,1.210602879524231,1.0001393556594849,1.2236028909683228,0.9999120235443115,0.9597285985946655,49.99647521972656,43.3129997253418,211.24815368652344,183.7085723876953,157.6717071533203,126.33795928955078,166.9336395263672,61.967811584472656,153.52548217773438,1496.6424560546875,341.6465148925781,394.79718017578125,115.2531509399414,77.67684173583984,322.4324645996094,292.1218566894531,338.3618469238281,230.92025756835938,462.85888671875,178.7142333984375,192.12086486816406,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.922581062302925e-06,0.6414273977279663,1000000.0,1000000.0,0.5696030855178833,0.6721454858779907,0.9952139854431152,1000000.0,1.027126669883728,0.8916135430335999,1.0043044090270996,0.9953007698059082,0.9536092877388,1000000.0,1000000.0,1.0401067733764648,1.2908055782318115,1.0002444982528687,1.3046461343765259,0.9998476505279541,0.9310637712478638,50.617469787597656,43.3950080871582,211.60867309570312,183.08724975585938,158.84588623046875,126.39580535888672,159.8389892578125,68.22476196289062,154.5682830810547,1504.890869140625,345.71038818359375,394.8125,115.22721862792969,77.6797866821289,322.4485168457031,292.0858459472656,336.7538146972656,230.8982696533203,462.84259033203125,178.71414184570312,192.1224365234375,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6.917172413523076e-06,0.5517652630805969,1000000.0,1000000.0,0.4773828685283661,0.5832007527351379,0.9901275634765625,1000000.0,1.039878487586975,0.8646120429039001,1.0075724124908447,0.9931321740150452,0.9311364889144897,1000000.0,1000000.0,1.0582915544509888,1.373576283454895,1.0003641843795776,1.387355089187622,0.9997743368148804,0.8972950577735901,51.334625244140625,43.48837661743164,212.05894470214844,182.3162078857422,159.6704864501953,126.3961181640625,152.4765167236328,75.43327331542969,156.11065673828125,1513.1513671875,350.3422546386719,394.83197021484375,115.19926452636719,77.68314361572266,322.46661376953125,292.0488586425781,335.0470275878906,230.87295532226562,462.8247375488281,178.71405029296875,192.1242218017578,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.868650077900384e-06,0.4589228630065918,1000000.0,1000000.0,0.38324007391929626,0.49084365367889404,0.9959001541137695,1000000.0,1.0539618730545044,0.8537740111351013,1.0121512413024902,0.9908111691474915,0.90517657995224,1000000.0,1000000.0,1.0777443647384644,1.4569696187973022,1.0004934072494507,1.4694855213165283,0.999694287776947,0.8585397601127625,52.133689880371094,43.59037780761719,212.60841369628906,181.3807373046875,160.10781860351562,126.34257507324219,145.1306915283203,83.44369506835938,158.24337768554688,1521.0367431640625,355.4359130859375,394.8554382324219,115.170166015625,77.68681335449219,322.4861755371094,292.0120544433594,333.3089294433594,230.84535217285156,462.80645751953125,178.7139434814453,192.1261444091797,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
