iteration,loss,gravity_g,gt.gravity_g
-1,,,-9.800000190734863
0,,-8.0,
1,7.305087024178647e-08,-8.112998962402344,
2,1.289820232841521e-07,-8.313644409179688,
3,2.7035517291551514e-07,-8.533390998840332,
4,4.646803688501677e-07,-8.764223098754883,
5,6.134437171567697e-07,-9.006830215454102,
6,6.342885399135412e-07,-9.261758804321289,
7,4.826924850931391e-07,-9.529667854309082,
8,2.2298095814221597e-07,-9.806507110595703,
9,6.149923592602136e-08,-10.049076080322266,
10,3.631699883044348e-07,-10.115121841430664,
11,7.546074130004854e-07,-10.04157543182373,
12,6.370605660777073e-07,-9.89840030670166,
13,1.921090841960904e-07,-9.72821044921875,
14,1.486460519117827e-07,-9.624749183654785,
15,7.700591595494188e-07,-9.656000137329102,
16,7.019512509032211e-07,-9.766637802124023,
17,1.0433559793909808e-07,-9.89324951171875,
18,5.683061772288056e-07,-9.89408016204834,
19,6.901320830365876e-07,-9.804387092590332,
20,6.005980424106383e-08,-9.718122482299805,
