iteration,loss,particle.0.mass,particle.1.mass,particle.2.mass,gt.particle.0.mass,gt.particle.1.mass,gt.particle.2.mass
-1,,,,,1000000.0,1000000.0,1.0
0,,1000000.0,1000000.0,1.5,,,
1,6.795023921313259e-08,1000000.0,1000000.0,1.4992218017578125,,,
2,6.9109724165628e-08,1000000.0,1000000.0,1.4816718101501465,,,
3,8.851089461359152e-08,1000000.0,1000000.0,1.4287604093551636,,,
4,1.8802350609803398e-07,1000000.0,1000000.0,1.3660516738891602,,,
5,4.690083983405202e-07,1000000.0,1000000.0,1.3006253242492676,,,
6,9.797522579901852e-07,1000000.0,1000000.0,1.232576847076416,,,
7,1.5805853763595223e-06,1000000.0,1000000.0,1.161563515663147,,,
8,8.741329224903893e-07,1000000.0,1000000.0,1.0818051099777222,,,
9,5.685371320396371e-07,1000000.0,1000000.0,0.9959326386451721,,,
10,6.367827154463157e-08,1000000.0,1000000.0,0.9226874113082886,,,
