iteration,loss,edge.0.k,edge.1.k,gt.edge.0.k,gt.edge.1.k
-1,,,,338.6585388183594,325.05133056640625
0,,338.6585388183594,400.0,,
1,6.789755957470334e-08,338.6584167480469,400.0005798339844,,
2,6.735710655902949e-08,338.6549072265625,400.0,,
3,6.756805248642195e-08,338.61578369140625,399.94329833984375,,
4,7.510715960279413e-08,338.37664794921875,399.5268249511719,,
5,1.0880786760480987e-07,337.4105529785156,397.8570251464844,,
6,1.9791600891494454e-07,334.5831604003906,393.32989501953125,,
7,3.441500382450613e-07,328.49658203125,384.37371826171875,,
8,4.5446898866430274e-07,318.6133117675781,370.5010986328125,,
9,3.75695776710927e-07,307.5491943359375,352.9538879394531,,
10,3.463963480498933e-07,308.8093566894531,337.7113952636719,,
11,5.875207307326491e-07,323.17840576171875,336.2431945800781,,
12,1.6545914149901364e-07,341.08172607421875,338.603271484375,,
13,6.273675694501435e-07,339.80499267578125,325.2833251953125,,
14,6.519587714137742e-08,336.8474426269531,311.5347900390625,,
15,1.4418940281757386e-06,353.1098327636719,324.43243408203125,,
16,9.658431281422963e-07,354.3916015625,322.9911193847656,,
17,1.2601752814589418e-06,342.7577209472656,308.96728515625,,
18,1.412784058629768e-06,346.20068359375,311.9579772949219,,
19,4.247210654284572e-07,354.9869689941406,321.0380554199219,,
20,1.3151536677469267e-06,351.13555908203125,317.33905029296875,,
